signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
EDA1CD31,2023-01-05,13:15:00,SENSEX,PUT,0,65,1,60240.1,60492.22,-252.12,14.98,22.15,60475.69,60604.63,1.0,50.0,61324.55,60594.82,61343.96,60052.42,1,100000.0,1887.3,377.46,188.73,150.98,283.09,150.98,-457.95,-24.26,Stop-loss,1,0
CE16F48E,2023-01-06,13:30:00,SENSEX,PUT,0,68,1,59681.47,60114.39,-432.92,15.41,25.01,60074.61,60212.37,1.0,50.0,60875.92,60052.42,61343.96,59673.17,7,99542.05,4966.3,993.26,496.63,397.3,744.94,494.93,-98.52,-1.98,No-move (flat 30 min),1,0
26B9C757,2023-01-10,13:30:00,SENSEX,PUT,0,66,1,60104.46,60242.12,-137.66,34.81,20.12,60231.8,60339.49,1.0,50.0,60888.51,60121.75,61324.55,59673.17,3,99443.53,3264.0,652.8,326.4,261.12,489.6,338.82,43.19,1.32,Max hold (60 min),1,1
7DE1484A,2023-01-13,13:30:00,SENSEX,CALL,1,68,1,60299.99,59884.85,415.14,86.46,30.26,59934.94,59831.51,1.0,50.0,60289.79,59632.32,60888.51,59628.43,7,99486.72,,,501.26,401.01,751.89,,,,premium_out_of_range,0,-1
CB9C21FB,2023-01-13,13:45:00,SENSEX,CALL,1,68,1,60323.36,59907.68,415.68,87.01,34.23,59971.93,59850.8,1.0,50.0,60289.79,59632.32,60888.51,59628.43,7,99486.72,,,501.41,401.13,752.12,,,,premium_out_of_range,0,-1
FDAD4482,2023-01-13,14:00:00,SENSEX,CALL,1,71,1,60346.06,59930.95,415.11,87.53,37.95,60007.56,59870.22,1.0,50.0,60289.79,59632.32,60888.51,59628.43,7,99486.72,,,501.67,401.34,752.5,,,,premium_out_of_range,0,-1
B16DAAEE,2023-01-13,14:15:00,SENSEX,CALL,1,71,1,60375.83,59953.28,422.55,88.2,41.4,60042.63,59890.05,1.0,50.0,60289.79,59632.32,60888.51,59628.43,7,99486.72,,,500.99,400.79,751.49,,,,premium_out_of_range,0,-1
B4F18958,2023-01-13,14:30:00,SENSEX,CALL,1,71,1,60294.08,59970.64,323.44,76.06,42.51,60066.58,59905.89,1.0,50.0,60289.79,59632.32,60888.51,59628.43,7,99486.72,,,500.59,400.47,750.88,,,,premium_out_of_range,0,-1
260B36C7,2023-01-16,14:15:00,SENSEX,PUT,0,65,1,60048.67,60259.94,-211.27,27.37,30.55,60225.28,60322.19,1.0,50.0,60416.33,59628.43,60805.14,59628.43,4,99486.72,3769.6,753.92,376.96,301.57,565.44,323.24,-618.19,-16.4,Hard close (15:00),1,0
6379A78E,2023-01-18,13:30:00,SENSEX,CALL,1,69,1,61024.73,60951.95,72.78,65.71,20.47,60940.14,60828.69,1.0,50.0,60704.09,60073.51,61109.52,59628.43,2,98868.53,2713.7,542.74,271.37,217.1,407.06,250.57,-288.72,-10.64,Max hold (60 min),1,0
DAEA33E4,2023-01-27,13:30:00,SENSEX,PUT,0,65,1,59155.73,59449.4,-293.67,28.43,20.15,59400.06,59509.55,1.0,50.0,60899.21,60081.36,61265.49,58975.44,7,98579.81,4916.0,983.2,491.6,393.28,737.4,551.55,517.83,10.53,Profit lock (14:00),1,1
A3DFBBB7,2023-02-14,13:15:00,SENSEX,CALL,1,75,2,61002.35,60800.75,201.6,83.27,21.57,60812.54,60726.51,1.0,50.0,60740.95,60245.05,61102.74,60245.05,3,99097.64,6634.6,1326.92,331.73,265.38,497.6,356.91,381.43,5.75,Profit lock (14:00),1,1
D633F9E9,2023-02-17,14:15:00,SENSEX,PUT,0,69,1,60879.87,61071.46,-191.59,29.51,23.06,61019.82,61085.15,1.0,50.0,61681.99,61199.5,61681.99,60245.05,7,99479.07,,,506.56,405.25,759.84,,,,premium_out_of_range,0,-1
F89F40D0,2023-02-20,13:30:00,SENSEX,PUT,0,65,1,60810.28,61042.47,-232.19,26.53,21.65,60988.34,61019.19,1.0,50.0,61302.53,60811.26,61681.99,60550.25,4,99479.07,3815.5,763.1,381.55,305.24,572.33,393.1,34.3,0.9,Profit lock (14:00),1,1
A483EB2D,2023-02-22,13:30:00,SENSEX,PUT,0,65,1,59869.71,60119.72,-250.01,11.43,23.94,60115.64,60240.34,1.0,50.0,60976.59,60584.05,61681.99,59683.21,2,99513.37,2655.9,531.18,265.59,212.47,398.38,299.64,259.62,9.78,Profit lock (14:00),1,1
877E9532,2023-02-24,13:15:00,SENSEX,PUT,0,68,1,59364.23,59633.34,-269.11,13.11,25.28,59609.69,59705.97,1.0,50.0,59959.72,59408.11,61289.84,59325.34,7,99772.99,4933.9,986.78,493.39,394.71,740.09,463.82,-377.09,-7.64,Max hold (60 min),1,0
3D9C3A79,2023-02-28,14:00:00,SENSEX,PUT,0,69,1,58973.43,59209.73,-236.3,24.81,21.18,59180.14,59269.19,1.0,50.0,59439.09,58938.37,60461.61,58796.12,3,99395.9,3199.3,639.86,319.93,255.94,479.89,255.94,-720.66,-22.53,Stop-loss,1,0
C931B488,2023-03-02,14:00:00,SENSEX,PUT,0,69,1,58902.0,59095.03,-193.03,23.5,23.48,59069.79,59116.3,1.0,50.0,59483.05,58796.12,59959.72,58796.12,1,98675.24,1851.6,370.32,185.16,148.13,277.74,182.0,-112.14,-6.06,Max hold (60 min),1,0
80B94CF9,2023-03-03,14:00:00,SENSEX,CALL,1,68,1,59828.51,59639.14,189.37,76.23,21.06,59653.21,59535.96,1.0,50.0,59422.22,58866.99,59967.04,58796.12,7,98563.1,4974.3,994.86,497.43,397.94,746.14,491.73,-138.5,-2.78,No-move (flat 30 min),1,0
