signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
A09E9E0C,2024-01-01,14:00:00,NIFTY,CALL,1,4,21764.85,21730.66,34.19,1,near_PDH,21793.9,29.05,65.9,18.09,1,0,0,0.0,1.0,21793.9,21684.05,3,100000.0,17781.0,4960.0,118.54,94.83,177.81,94.83,-4200.68,-23.62,Stop-loss,1,0
13199F59,2024-01-01,14:15:00,NIFTY,CALL,1,4,21792.65,21733.3,59.35,1,near_PDH,21801.2,8.55,72.5,22.65,1,0,0,0.0,1.0,21801.2,21684.05,3,100000.0,,,118.55,94.84,177.82,,,,shadow_not_traded,0,0
00CC1790,2024-01-01,14:30:00,NIFTY,CALL,1,4,21794.25,21736.18,58.07,1,near_PDH,21818.95,24.7,72.82,26.94,1,0,0,0.0,1.0,21818.95,21684.05,3,100000.0,,,118.67,94.94,178.0,,,,shadow_not_traded,0,0
EA3C5B87,2024-01-04,13:45:00,NIFTY,CALL,1,3,21665.9,21641.82,24.08,1,near_PDH,21677.0,11.1,66.21,26.72,1,0,0,0.0,1.0,21677.0,21500.35,7,95799.32,,,179.97,143.98,269.95,,,,shadow_not_traded,0,0
90E910FC,2024-01-04,14:00:00,NIFTY,CALL,1,3,21660.6,21642.88,17.72,1,near_PDH,21677.0,16.4,61.8,28.99,1,0,0,0.0,1.0,21677.0,21500.35,7,95799.32,,,179.93,143.94,269.89,,,,shadow_not_traded,0,0
05B0BD01,2024-01-04,14:15:00,NIFTY,CALL,1,3,21654.7,21643.57,11.13,1,near_PDH,21677.0,22.3,57.23,29.28,1,0,0,0.0,1.0,21677.0,21500.35,7,95799.32,,,179.88,143.9,269.82,,,,shadow_not_traded,0,1
B12C192B,2024-01-05,13:15:00,NIFTY,PUT,0,3,21695.85,21703.19,-7.34,1,near_PDH,21685.65,10.2,44.47,15.19,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,,,166.88,133.5,250.32,,,,shadow_not_traded,0,0
247EBF2D,2024-01-05,13:30:00,NIFTY,PUT,0,3,21692.85,21702.61,-9.76,1,near_PDH,21685.65,7.2,43.01,18.56,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,,,166.78,133.42,250.17,,,,shadow_not_traded,0,0
1F229AC7,2024-01-05,13:45:00,NIFTY,PUT,0,3,21680.1,21701.47,-21.38,1,near_PDH,21685.65,5.55,37.39,22.57,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,,,166.77,133.42,250.16,,,,shadow_not_traded,0,0
F56E9823,2024-01-05,14:00:00,NIFTY,PUT,0,4,21679.35,21700.09,-20.74,1,near_PDH,21685.65,6.3,37.08,26.38,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,,,166.54,133.23,249.81,,,,shadow_not_traded,0,0
2B966F40,2024-01-05,14:15:00,NIFTY,PUT,0,5,21649.2,21697.97,-48.77,1,near_PDH,21685.65,36.45,27.35,30.43,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,16649.0,4749.97,166.49,133.19,266.38,133.19,-3773.94,-22.67,Stop-loss,1,0
FE8AF34E,2024-01-05,14:30:00,NIFTY,PUT,0,5,21643.15,21695.36,-52.21,1,near_PDH,21685.65,42.5,25.88,34.38,0,1,0,0.0,1.0,21685.65,21564.55,6,95799.32,,,166.77,133.42,250.16,,,,shadow_not_traded,0,0
62D46626,2024-01-08,13:15:00,NIFTY,PUT,0,3,21575.8,21636.96,-61.16,1,near_PDL,21629.2,53.4,30.94,14.4,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.4,93.92,176.1,,,,shadow_not_traded,0,1
E892152F,2024-01-08,13:30:00,NIFTY,PUT,0,3,21582.45,21633.77,-51.32,1,near_PDL,21629.2,46.75,33.18,17.46,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.29,93.83,175.94,,,,shadow_not_traded,0,1
2221F9AB,2024-01-08,13:45:00,NIFTY,PUT,0,3,21562.2,21630.35,-68.15,1,near_PDL,21629.2,67.0,29.99,20.63,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.41,93.93,176.12,,,,shadow_not_traded,0,1
D9941685,2024-01-08,14:00:00,NIFTY,PUT,0,3,21585.25,21627.4,-42.15,1,near_PDL,21629.2,43.95,37.38,23.6,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.42,93.94,176.13,,,,shadow_not_traded,0,1
462DBE51,2024-01-08,14:15:00,NIFTY,PUT,0,3,21587.2,21625.42,-38.22,1,near_PDL,21629.2,42.0,37.97,24.96,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.22,93.78,175.83,,,,shadow_not_traded,0,1
B44E2660,2024-01-08,14:30:00,NIFTY,PUT,0,4,21549.85,21622.46,-72.61,1,near_PDL,21629.2,79.35,31.74,27.09,0,1,0,0.0,1.0,21749.6,21629.2,3,92025.38,,,117.09,93.67,175.63,,,,shadow_not_traded,0,1
2AB0D33C,2024-01-11,13:45:00,NIFTY,PUT,0,3,21664.25,21667.56,-3.31,1,near_PDH,21641.85,22.4,37.04,14.51,0,1,0,0.0,1.0,21641.85,21448.65,7,92025.38,,,180.02,144.02,270.03,,,,shadow_not_traded,0,0
FB208413,2024-01-11,14:00:00,NIFTY,PUT,0,3,21665.55,21667.4,-1.85,1,near_PDH,21641.85,23.7,38.7,15.67,0,1,0,0.0,1.0,21641.85,21448.65,7,92025.38,,,179.53,143.62,269.3,,,,shadow_not_traded,0,0
EB1E96C1,2024-01-11,14:15:00,NIFTY,PUT,0,4,21606.3,21665.22,-58.92,1,near_PDH,21641.85,35.55,16.87,20.43,0,1,0,0.0,1.0,21641.85,21448.65,7,92025.38,17991.0,4561.27,179.91,143.93,269.87,172.1,-1226.08,-6.81,Hard close (15:00),1,0
B6CF1B6D,2024-01-11,14:30:00,NIFTY,PUT,0,3,21652.8,21663.82,-11.02,1,near_PDH,21641.85,10.95,43.71,24.66,0,1,0,0.0,1.0,21641.85,21448.65,7,92025.38,,,179.87,143.9,269.81,,,,shadow_not_traded,0,0
CD159EDC,2024-01-12,13:30:00,NIFTY,CALL,1,3,21856.75,21814.96,41.79,0,,0.0,,79.65,22.38,1,0,0,0.0,1.0,21726.5,21593.75,6,90799.3,,,168.38,134.7,252.57,,,,shadow_not_traded,0,0
A4F3060C,2024-01-12,13:45:00,NIFTY,CALL,1,4,21886.35,21818.47,67.88,0,,0.0,,84.43,27.57,1,0,0,0.0,1.0,21726.5,21593.75,6,90799.3,,,168.43,134.74,252.65,,,,shadow_not_traded,0,0
BEB5C6C6,2024-01-12,14:00:00,NIFTY,CALL,1,4,21893.05,21822.22,70.83,0,,0.0,,85.27,32.17,1,0,0,0.0,1.0,21726.5,21593.75,6,90799.3,,,168.31,134.65,252.47,,,,shadow_not_traded,0,1
D2A10088,2024-01-12,14:15:00,NIFTY,CALL,1,4,21879.1,21825.11,53.99,0,,0.0,,76.04,34.06,1,0,0,0.0,1.0,21726.5,21593.75,6,90799.3,,,168.41,134.73,252.62,,,,shadow_not_traded,0,1
D2629C1B,2024-01-12,14:30:00,NIFTY,CALL,1,4,21891.3,21828.19,63.11,0,,0.0,,78.26,35.99,1,0,0,0.0,1.0,21726.5,21593.75,6,90799.3,,,168.59,134.87,252.88,,,,shadow_not_traded,0,0
C4FFBFB2,2024-01-16,13:45:00,NIFTY,PUT,0,4,22013.0,22076.27,-63.27,1,near_PDH,22115.55,102.55,31.06,18.56,0,1,0,0.0,1.0,22115.55,21963.55,2,90799.3,14685.0,4499.97,97.9,78.32,146.85,91.82,-1556.34,-10.6,Max hold (60 min),1,0
4671821A,2024-01-16,14:00:00,NIFTY,PUT,0,3,22043.85,22073.97,-30.12,1,near_PDH,22115.55,71.7,43.39,20.65,0,1,0,0.0,1.0,22115.55,21963.55,2,90799.3,,,97.93,78.34,146.9,,,,shadow_not_traded,0,1
D0C8ADF9,2024-01-16,14:30:00,NIFTY,PUT,0,3,22040.9,22071.03,-30.13,1,near_PDH,22115.55,74.65,42.91,22.75,0,1,0,0.0,1.0,22115.55,21963.55,2,90799.3,,,97.87,78.3,146.81,,,,shadow_not_traded,0,1
E100966C,2024-01-17,13:00:00,NIFTY,PUT,0,3,21632.9,21726.73,-93.83,0,,0.0,,12.15,16.23,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,67.94,54.35,101.91,,,,shadow_not_traded,0,0
7E6EC44B,2024-01-17,13:15:00,NIFTY,PUT,0,3,21632.95,21721.31,-88.36,0,,0.0,,12.18,22.56,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,67.96,54.37,101.94,,,,shadow_not_traded,0,1
4D19F5D7,2024-01-17,13:30:00,NIFTY,PUT,0,4,21652.2,21716.8,-64.6,0,,0.0,,24.5,28.07,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,68.0,54.4,102.0,,,,shadow_not_traded,0,1
E8847E67,2024-01-17,13:45:00,NIFTY,PUT,0,4,21651.25,21712.54,-61.29,0,,0.0,,24.32,33.18,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,67.99,54.39,101.98,,,,shadow_not_traded,0,1
5DB133F1,2024-01-17,14:00:00,NIFTY,PUT,0,4,21649.15,21709.63,-60.48,0,,0.0,,23.9,35.27,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,68.02,54.42,102.03,,,,shadow_not_traded,0,1
F37CD191,2024-01-17,14:15:00,NIFTY,PUT,0,4,21657.1,21706.79,-49.69,0,,0.0,,28.91,37.44,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,67.85,54.28,101.77,,,,shadow_not_traded,0,1
B6621B19,2024-01-17,14:30:00,NIFTY,PUT,0,4,21604.2,21702.78,-98.58,0,,0.0,,19.64,40.1,0,1,0,0.0,1.0,22124.15,21969.8,1,89242.96,,,67.76,54.21,101.64,,,,shadow_not_traded,0,0
6F3F8663,2024-01-20,14:15:00,NIFTY,PUT,0,4,21609.6,21647.89,-38.29,0,,0.0,,35.57,26.47,0,1,0,0.0,1.0,21670.6,21575.0,5,89242.96,,,151.79,121.43,227.69,,,,shadow_not_traded,0,1
347F3EC5,2024-01-20,14:30:00,NIFTY,PUT,0,3,21615.85,21646.08,-30.23,0,,0.0,,38.3,29.26,0,1,0,0.0,1.0,21670.6,21575.0,5,89242.96,,,151.64,121.31,227.46,,,,shadow_not_traded,0,0
C386CFDE,2024-01-23,13:00:00,NIFTY,PUT,0,3,21365.3,21544.24,-178.94,0,,0.0,,9.26,20.22,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.84,75.87,142.26,,,,shadow_not_traded,0,1
59CEAED6,2024-01-23,13:15:00,NIFTY,PUT,0,4,21353.25,21532.47,-179.22,0,,0.0,,8.84,28.29,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.82,75.86,142.23,,,,shadow_not_traded,0,1
A709587D,2024-01-23,13:30:00,NIFTY,PUT,0,4,21348.8,21521.72,-172.92,0,,0.0,,8.68,35.32,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.81,75.85,142.22,,,,shadow_not_traded,0,1
5C6110E6,2024-01-23,13:45:00,NIFTY,PUT,0,4,21347.4,21511.99,-164.59,0,,0.0,,8.63,41.47,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.67,75.74,142.0,,,,shadow_not_traded,0,1
F39E2E96,2024-01-23,14:00:00,NIFTY,PUT,0,4,21314.9,21502.19,-187.29,0,,0.0,,7.51,46.91,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.66,75.73,141.99,,,,shadow_not_traded,0,1
AF4210FA,2024-01-23,14:15:00,NIFTY,PUT,0,4,21311.75,21492.97,-181.22,0,,0.0,,7.41,51.71,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.33,75.46,141.5,,,,shadow_not_traded,0,0
CF3E9A89,2024-01-23,14:30:00,NIFTY,PUT,0,4,21237.55,21481.9,-244.35,0,,0.0,,5.52,56.01,0,1,0,0.0,1.0,21720.3,21541.8,2,89242.96,,,94.25,75.4,141.38,,,,shadow_not_traded,0,0
5883BFE5,2024-01-29,13:15:00,NIFTY,CALL,1,3,21705.05,21620.04,85.01,0,,0.0,,90.28,17.07,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,117.94,94.35,176.91,,,,shadow_not_traded,0,1
0B631738,2024-01-29,13:30:00,NIFTY,CALL,1,3,21681.65,21624.04,57.61,0,,0.0,,74.95,20.61,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,118.03,94.42,177.05,,,,shadow_not_traded,0,1
6AC4B74F,2024-01-29,13:45:00,NIFTY,CALL,1,3,21698.15,21627.83,70.32,0,,0.0,,77.81,23.71,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,118.2,94.56,177.3,,,,shadow_not_traded,0,1
5BA946A1,2024-01-29,14:00:00,NIFTY,CALL,1,4,21728.3,21632.58,95.72,0,,0.0,,81.88,27.45,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,118.15,94.52,177.23,,,,shadow_not_traded,0,1
4AAD0C98,2024-01-29,14:15:00,NIFTY,CALL,1,4,21721.0,21637.3,83.7,0,,0.0,,78.14,31.03,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,118.12,94.5,177.18,,,,shadow_not_traded,0,1
EF460C6A,2024-01-29,14:30:00,NIFTY,CALL,1,4,21714.8,21641.16,73.64,0,,0.0,,75.01,33.48,1,0,0,0.0,1.0,21459.0,21247.05,3,89242.96,,,118.2,94.56,177.3,,,,shadow_not_traded,0,1
4119FDCB,2024-01-30,13:15:00,NIFTY,PUT,0,4,21675.85,21714.28,-38.43,1,near_PDH,21763.25,87.4,41.03,12.64,0,1,0,0.0,1.0,21763.25,21429.6,2,89242.96,14449.5,4422.15,96.33,77.06,144.5,103.17,381.61,2.64,Profit lock (14:00),1,1
3AB8704C,2024-01-30,13:45:00,NIFTY,PUT,0,3,21687.1,21710.7,-23.6,1,near_PDH,21763.25,76.15,44.72,20.29,0,1,0,0.0,1.0,21763.25,21429.6,2,89242.96,,,96.19,76.95,144.28,,,,shadow_not_traded,0,1
61B6BA4B,2024-01-30,14:00:00,NIFTY,PUT,0,4,21658.9,21708.41,-49.51,1,near_PDH,21763.25,104.35,38.23,24.14,0,1,0,0.0,1.0,21763.25,21429.6,2,89624.57,,,96.23,76.98,144.34,,,,shadow_not_traded,0,1
04CDC593,2024-01-30,14:15:00,NIFTY,PUT,0,5,21666.6,21705.79,-39.19,1,near_PDH,21763.25,96.65,40.76,28.09,0,1,0,0.0,1.0,21763.25,21429.6,2,89624.57,,,96.0,76.8,144.0,,,,shadow_not_traded,0,1
5CD8BE5B,2024-01-30,14:30:00,NIFTY,PUT,0,4,21616.6,21702.36,-85.76,0,,0.0,,31.69,31.96,0,1,0,0.0,1.0,21763.25,21429.6,2,89624.57,,,95.78,76.62,143.67,,,,shadow_not_traded,0,1
AD33B6C7,2024-01-31,13:30:00,NIFTY,CALL,1,3,21699.0,21641.62,57.38,0,,0.0,,72.81,15.07,1,0,0,0.0,1.0,21813.05,21501.8,1,89624.57,,,68.09,54.47,102.14,,,,shadow_not_traded,0,1
8A4CE002,2024-01-31,13:45:00,NIFTY,CALL,1,3,21680.5,21644.02,36.48,0,,0.0,,65.61,16.18,1,0,0,0.0,1.0,21813.05,21501.8,1,89624.57,,,68.1,54.48,102.15,,,,shadow_not_traded,0,1
3F698192,2024-01-31,14:00:00,NIFTY,CALL,1,3,21685.85,21645.9,39.95,0,,0.0,,66.64,16.81,1,0,0,0.0,1.0,21813.05,21501.8,1,89624.57,,,68.11,54.49,102.16,,,,shadow_not_traded,0,1
463114BE,2024-01-31,14:15:00,NIFTY,CALL,1,3,21685.8,21647.89,37.91,0,,0.0,,66.62,17.49,1,0,0,0.0,1.0,21813.05,21501.8,1,89624.57,,,68.07,54.46,102.1,,,,shadow_not_traded,0,1
F0BB4848,2024-02-02,13:45:00,NIFTY,PUT,0,4,21852.65,21949.22,-96.57,1,near_PDH,21832.95,19.7,33.18,13.26,0,1,0,0.0,1.0,21832.95,21658.75,6,89624.57,16826.0,4441.23,168.26,134.61,252.39,169.41,-329.53,-1.96,Max hold (60 min),1,0
9D1D55F4,2024-02-02,14:00:00,NIFTY,PUT,0,4,21873.0,21944.67,-71.67,1,near_PDH,21832.95,40.05,37.99,15.25,0,1,0,0.0,1.0,21832.95,21658.75,6,89624.57,,,168.42,134.74,252.63,,,,shadow_not_traded,0,1
12E9F53F,2024-02-02,14:15:00,NIFTY,PUT,0,4,21892.8,21941.73,-48.93,1,near_PDH,21832.95,59.85,42.34,15.89,0,1,0,0.0,1.0,21832.95,21658.75,6,89624.57,,,168.26,134.61,252.39,,,,shadow_not_traded,0,1
C52869DB,2024-02-02,14:30:00,NIFTY,PUT,0,4,21872.55,21938.86,-66.31,1,near_PDH,21832.95,39.6,39.3,16.45,0,1,0,0.0,1.0,21832.95,21658.75,6,89624.57,,,168.45,134.76,252.67,,,,shadow_not_traded,0,1
925A0AC7,2024-02-07,13:00:00,NIFTY,PUT,0,4,21901.35,21946.81,-45.46,1,near_PDH,21951.4,50.05,31.89,12.9,0,1,0,0.0,1.0,21951.4,21737.55,1,89295.04,13760.0,4424.75,68.8,55.04,103.2,55.04,-3595.18,-26.13,Stop-loss,1,0
68609ADF,2024-02-07,13:15:00,NIFTY,PUT,0,4,21906.7,21944.2,-37.5,1,near_PDH,21951.4,44.7,34.43,17.34,0,1,0,0.0,1.0,21951.4,21737.55,1,89295.04000000001,,,68.76,55.01,103.14,,,,shadow_not_traded,0,0
8F039B59,2024-02-07,13:30:00,NIFTY,PUT,0,4,21894.0,21941.68,-47.68,1,near_PDH,21951.4,57.4,31.44,21.08,0,1,0,0.0,1.0,21951.4,21737.55,1,85699.86000000002,,,68.88,55.1,103.32,,,,shadow_not_traded,0,0
2407862D,2024-02-08,13:00:00,NIFTY,PUT,0,3,21806.1,21854.17,-48.07,1,near_PDL,21860.15,54.05,31.55,13.77,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,181.21,144.97,271.81,,,,shadow_not_traded,0,1
209807E4,2024-02-08,13:15:00,NIFTY,PUT,0,3,21807.85,21851.0,-43.15,1,near_PDL,21860.15,52.3,32.09,18.15,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,181.17,144.94,271.75,,,,shadow_not_traded,0,1
E32C3E8A,2024-02-08,13:30:00,NIFTY,PUT,0,3,21803.65,21847.95,-44.3,1,near_PDL,21860.15,56.5,31.45,22.07,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,181.04,144.83,271.56,,,,shadow_not_traded,0,0
261BE47D,2024-02-08,13:45:00,NIFTY,PUT,0,4,21787.45,21844.72,-57.27,1,near_PDL,21860.15,72.7,29.04,25.54,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,180.9,144.72,271.35,,,,shadow_not_traded,0,0
F64D67EE,2024-02-08,14:00:00,NIFTY,PUT,0,4,21771.2,21841.05,-69.85,1,near_PDL,21860.15,88.95,26.82,29.03,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,180.54,144.43,270.81,,,,shadow_not_traded,0,0
73F27ECA,2024-02-08,14:15:00,NIFTY,PUT,0,4,21727.75,21836.08,-108.33,0,,0.0,,21.98,32.77,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,180.45,144.36,270.67,,,,shadow_not_traded,0,0
519B61A1,2024-02-08,14:30:00,NIFTY,PUT,0,4,21716.45,21830.69,-114.24,0,,0.0,,20.92,36.33,0,1,0,0.0,1.0,22053.3,21860.15,7,85699.86000000002,,,180.26,144.21,270.39,,,,shadow_not_traded,0,0
A218E226,2024-02-12,13:00:00,NIFTY,PUT,0,3,21627.95,21695.56,-67.61,1,near_PDL,21629.9,1.95,26.37,14.62,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.57,94.06,176.35,,,,shadow_not_traded,0,0
0E3863BC,2024-02-12,13:15:00,NIFTY,PUT,0,3,21614.5,21689.94,-75.44,1,near_PDL,21629.9,15.4,24.7,21.27,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.6,94.08,176.4,,,,shadow_not_traded,0,0
68A0C5DE,2024-02-12,13:30:00,NIFTY,PUT,0,4,21618.85,21685.4,-66.55,1,near_PDL,21629.9,11.05,26.32,27.05,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.66,94.13,176.49,,,,shadow_not_traded,0,0
D79D314C,2024-02-12,13:45:00,NIFTY,PUT,0,4,21629.65,21682.65,-53.0,1,near_PDL,21629.9,0.25,30.33,29.55,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.69,94.15,176.53,,,,shadow_not_traded,0,1
786DE0C8,2024-02-12,14:00:00,NIFTY,PUT,0,4,21635.45,21679.89,-44.44,1,near_PDL,21629.9,5.55,32.46,32.0,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.97,94.38,176.95,,,,shadow_not_traded,0,1
ED7DA794,2024-02-12,14:30:00,NIFTY,PUT,0,4,21633.45,21678.21,-44.76,1,near_PDL,21629.9,3.55,38.2,31.27,0,1,0,0.0,1.0,21804.45,21629.9,3,85699.86000000002,,,117.74,94.19,176.61,,,,shadow_not_traded,0,1
875B4DF3,2024-02-14,13:15:00,NIFTY,CALL,1,3,21689.7,21618.46,71.24,1,near_PDH,21766.8,77.1,79.91,17.65,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.06,54.45,102.09,,,,shadow_not_traded,0,1
26E2E022,2024-02-14,13:30:00,NIFTY,CALL,1,3,21671.75,21621.9,49.85,1,near_PDH,21766.8,95.05,70.35,21.17,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.03,54.42,102.05,,,,shadow_not_traded,0,1
AA64C3BA,2024-02-14,13:45:00,NIFTY,CALL,1,3,21661.75,21623.82,37.93,1,near_PDH,21766.8,105.05,65.63,21.13,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.03,54.42,102.05,,,,shadow_not_traded,0,1
EC14C8AD,2024-02-14,14:00:00,NIFTY,CALL,1,3,21659.4,21625.97,33.43,1,near_PDH,21766.8,107.4,64.54,21.73,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.21,54.57,102.31,,,,shadow_not_traded,0,1
A6F38B5E,2024-02-14,14:15:00,NIFTY,CALL,1,3,21718.95,21629.65,89.3,1,near_PDH,21766.8,47.85,75.63,23.51,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.31,54.65,102.47,,,,shadow_not_traded,0,1
125F351D,2024-02-14,14:30:00,NIFTY,CALL,1,4,21752.7,21635.02,117.68,1,near_PDH,21766.8,14.1,79.53,26.13,1,0,0,0.0,1.0,21766.8,21543.35,1,85699.86000000002,,,68.51,54.81,102.77,,,,shadow_not_traded,0,1
DDCCF16B,2024-02-15,14:00:00,NIFTY,CALL,1,3,21951.3,21866.43,84.87,1,near_PDH,21870.85,80.45,73.42,15.34,1,0,0,0.0,1.0,21870.85,21530.2,7,85699.86000000002,,,182.08,145.66,273.12,,,,shadow_not_traded,0,0
6D607F8A,2024-02-15,14:15:00,NIFTY,CALL,1,3,21914.75,21869.47,45.28,1,near_PDH,21870.85,43.9,59.93,16.7,1,0,0,0.0,1.0,21870.85,21530.2,7,85699.86000000002,,,181.93,145.54,272.89,,,,shadow_not_traded,0,1
19BC9CBB,2024-02-19,13:15:00,NIFTY,CALL,1,3,22165.1,22112.6,52.5,0,,0.0,,72.89,16.0,1,0,0,0.0,1.0,22068.65,21968.95,3,85699.86000000002,,,120.45,96.36,180.68,,,,shadow_not_traded,0,0
E1AE5B8A,2024-02-19,13:45:00,NIFTY,CALL,1,3,22155.3,22116.59,38.71,0,,0.0,,64.85,18.58,1,0,0,0.0,1.0,22068.65,21968.95,3,85699.86000000002,,,120.55,96.44,180.82,,,,shadow_not_traded,0,0
9071BF5C,2024-02-19,14:00:00,NIFTY,CALL,1,3,22161.85,22119.01,42.84,0,,0.0,,66.48,20.64,1,0,0,0.0,1.0,22068.65,21968.95,3,85699.86000000002,,,120.53,96.42,180.8,,,,shadow_not_traded,0,0
231B0153,2024-02-19,14:15:00,NIFTY,CALL,1,3,22157.5,22121.05,36.45,0,,0.0,,64.35,22.28,1,0,0,0.0,1.0,22068.65,21968.95,3,85699.86000000002,,,120.67,96.54,181.0,,,,shadow_not_traded,0,0
DE7BFA75,2024-02-19,14:30:00,NIFTY,CALL,1,3,22182.15,22123.61,58.54,0,,0.0,,70.19,24.61,1,0,0,0.0,1.0,22068.65,21968.95,3,85699.86000000002,,,120.55,96.44,180.82,,,,shadow_not_traded,0,0
B146A05D,2024-02-20,13:30:00,NIFTY,CALL,1,3,22166.85,22122.16,44.69,1,near_PDH,22186.65,19.8,68.05,21.51,1,0,0,0.0,1.0,22186.65,22021.05,2,85699.86000000002,,,98.43,78.74,147.65,,,,shadow_not_traded,0,0
B3478729,2024-02-20,13:45:00,NIFTY,CALL,1,4,22163.2,22124.35,38.85,1,near_PDH,22186.65,23.45,66.11,25.07,1,0,0,0.0,1.0,22186.65,22021.05,2,85699.86000000002,,,98.28,78.62,147.42,,,,shadow_not_traded,0,1
3E029B00,2024-02-21,14:15:00,NIFTY,PUT,0,4,22112.45,22203.65,-91.2,1,near_PDH,22215.6,103.15,27.92,12.86,0,1,0,0.0,1.0,22215.6,22045.85,1,85699.86,13866.0,4244.99,69.33,55.46,104.0,90.05,3298.33,23.79,Trailing TP c1 (+25%),1,1
926C7392,2024-02-21,14:30:00,NIFTY,PUT,0,3,22075.0,22198.25,-123.25,1,near_PDL,22045.85,29.15,23.4,17.96,0,1,0,0.0,1.0,22215.6,22045.85,1,88998.19000000002,,,69.19,55.35,103.78,,,,shadow_not_traded,0,0
0C011007,2024-02-22,14:30:00,NIFTY,CALL,1,4,22080.55,21972.81,107.74,1,near_PDL,21997.95,82.6,67.37,18.87,1,0,0,0.0,1.0,22249.4,21997.95,7,88998.19,18369.0,4409.91,183.69,146.95,275.53,215.84,2768.5,15.07,Profit lock (14:00),1,1
68CC04DC,2024-02-28,13:00:00,NIFTY,PUT,0,3,21979.05,22109.01,-129.96,1,near_PDL,22085.65,106.6,18.9,15.13,0,1,0,0.0,1.0,22218.25,22085.65,1,91766.69000000002,,,68.92,55.14,103.38,,,,shadow_not_traded,0,0
020A3C00,2024-02-28,13:15:00,NIFTY,PUT,0,3,21942.5,22099.58,-157.08,0,,0.0,,16.29,21.85,0,1,0,0.0,1.0,22218.25,22085.65,1,91766.69000000002,,,69.1,55.28,103.65,,,,shadow_not_traded,0,0
4440A2DB,2024-02-28,13:30:00,NIFTY,PUT,0,4,22000.2,22092.75,-92.55,1,near_PDL,22085.65,85.45,32.2,26.69,0,1,0,0.0,1.0,22218.25,22085.65,1,91766.69000000002,,,69.14,55.31,103.71,,,,shadow_not_traded,0,0
9612317F,2024-02-28,13:45:00,NIFTY,PUT,0,4,22015.1,22088.36,-73.26,1,near_PDL,22085.65,70.55,35.6,29.15,0,1,0,0.0,1.0,22218.25,22085.65,1,91766.69000000002,,,69.17,55.34,103.75,,,,shadow_not_traded,0,1
